uuid,artist_name,track_name,release_date,genre,lyrics,topic
33,frankie laine,necessary evil,1951,pop,come motherfucker spit shit minutes chillin bitchin stuff frankly dont fuck intimate feel stuff feel like sit duck fuel cause theres weakness step fuckin bitch wanna test better caution extra warn mar yeah second horseman kill justify like family diss rest swaggin like rockstar limitless horrorcore bear mister death envy bitterness play rough fool piss presence perfect line spit sentence bless excrements holy shit endin want fight victim vengeance hook kill stone smother know flow super flow like fuckin know soul brother life like cover come punisher know gold hustlah pirate mafakka throath cutter know amazin controllin time space ancient mind razor rhyme alien laser eye cold roll dice crush glacier size fadin live high bitch think say straight think say clearly evil evil necessary prayers virgin diss hospital cemetary leave vast speculation quit rappin wack reputation write everyday lack termination education come motherfucker wanna packin chattin braggin demon rappin blastin smashin kickin jabbin peak game feel swaggin superrap flow little taste embrace feelin like waste greatest create dream replace fake reach overaged,obscene
34,ghantasala,kanugona galano,1951,pop,work morning flight watch even burn away tear life leave trouble door leave know hold go leave strand grind hear heart music end learn away hear heart music end learn away maybe think think know know heart feel like garbo late night grande hotel live hold go leave strand grind hear heart music end learn away hold go leave strand grind hear heart music end learn away hear heart music end learn away,sadness
36,les paul,the carioca,1951,pop,see carioca foxtrot polka little rhythm blue rhythm sigh meter tricky wicked wackywicky dance true dream carioca theme kiss sigh dream carioca music light go goodbye head better head dance begin arm lips carioca care polka realize blue hula bamboola tomorrow morning discover carioca lover dance true dream carioca theme kiss sigh dream carioca music light go say goodbye goodbye,romantic
37,les paul,chicken reel,1951,pop,hahaha alright yeah alright even shoot complain things go want cliché life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna thing dreamer think uncool preach better life learn school life live come life life easy tough life easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna things right need fighta life nicea elders polite hurt forget smile nation small good reward unite stand divide fall smile face greet life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face alright world better place smile face whatcha gonna whatcha gonna smile face yeah world better place smile face whatcha gonna whatcha gonna smile face smile world better place smile face yeah whatcha gonna whatcha gonna people smile hate screw lot happiness rasta know wish coulda come jamaica honolulu smile face good smile smile fine know vibes smile give inside smile look beautiful like come haha dimple cute hahaha happiness zeen smile,world/life
40,les paul,blue skies,1951,pop,blue sky smile blue sky bluebirds sing song bluebirds long shin bright things go right notice days hurry blue days go blue sky blue sky smile blue sky shin bright things go right notice days hurry blue days go blue sky blue sky,music
44,les paul,dark eyes,1951,pop,light bright dark shit backstage alright cause tons trays tons smoke cars tons pain slice skin break heart religion second highs like badminton bathrooms hide flask bag good girls act kill hardly stronger single hour pass feel longer yeah hour glass pour grain get smaller drink come quicker star smoke cloud look like autumn tree pretty color black thoughts eye bloodshot music note know feel skin lick feel high kill drink girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death feel feel motto take pills real need slow life like time lapse drug run time pass tell fuck need help young live life seat belt middle ocean pick seashells give detail live hell doubt time fuck feet fell california bear raise single female surf guess email tell stop need swear know felt pain pain killers wash away rain rain fall spot get go shoot maybe heart stop girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death,violence
53,asha bhosle,kotha mukunda,1952,pop,wander garden fence say bring great expense potion guarantee bring relief suffer say exist grasp firmly wrist throw strap torture rack argument mind bend course devious torment worse say speak voice weak tongue blame maybe speak shame brain idle think hasten reply like fool believe think somebody leave,violence
54,asha bhosle,awaz deta hai sola ka din,1952,pop,easier bitch leave happier face upstairs agonna stomp shout door gonna throw laundry hold shotgun dosido want cyrano easier bitch go little miss little miss little miss wrong little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs people thoughts handmedowns simply turn cook nice brain surgery mama awith monkey wrench little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs yeah wrong wrong wrong wrong wrong cigarettes gonna cough hear song piss fine dollar ninetynine little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs little miss little miss little miss little miss wrong wrong wrong wrong little miss little miss little miss little miss wrong wrong little miss little miss little miss little miss wrong yeah,feelings
56,mohammed rafi,jahan men log sachhe ashikon ko,1952,pop,park bag pack kind heart look comfortable glow porch word come undo face ghost decide inside burn need kill breathe hold hand search breath leave hop someday breathe breathe open secrets truth distance shelter come view hang head break heart build tear apart burden anymore need kill breathe hold hand search breath leave hop someday breathe hurt want hurt go need kill breathe hold hand search breath leave hop someday breathe breathe need kill breathe hold hand search breath leave hop someday breathe breathe,sadness
57,ghantasala,avanee nee pathi,1952,pop,feel take moment feel force veiny point tear hold point point clean stable face stay face fact fine say fine remember head manna hell drug need little think take like grow cry pavement hop face hear thing say couple days seat shake ask felt alright want hear truth want hear voice sound fine voice sound fine feel heartbeat take moment sleep alright veiny selfish fear restless night restless night blood sober feel audible crack tell curtain hang neck realize perfect teeth rip head look like paint know thoughts tire leak intact pray think angels end ambulances lord show dream daughter cry inside stomach felt,violence
58,ghantasala,ee jagamantha natika,1952,pop,know baby hang touch weak strong know cope down stay need roses right arm sweet thorns know touch weak strong know cope down stay need touch weak strong know cope down stay need touch weak strong know cope down stay need,romantic
62,les paul,smoke rings,1952,pop,tell smoke ring blow night circle blue white picture dream fade phantom parade care away night blow blow silky little ring little smoke ring care away night blow blow silky little ring little smoke ring,music
64,mukesh,hum tujhse mohabbat kar ke,1952,pop,fly high sing good bring sing like brother tell wanna cause wanna sing song wanna arm night long wanna know wanna peaceful feelin home summer thunder moonbright days northern light sky ablaze bring lover sing silver wing fiery trail sing bring wanna sing wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna peaceful feelin home,music
65,lata mangeshkar,paas nahin aaiye haath na lagaiye,1952,pop,letter straight heart near apart night write memorize line kiss sign darling read right start letter straight heart,night/time
66,lata mangeshkar,main na janoon,1952,pop,watch sunrise tropic isle pyramid nile remember darlin belong market place algiers send photograph souvenirs remember dream appear belong maybe lonesome blue ocean silver plane jungle rain remember home belong ocean silver plane jungle rain remember home belong,music
68,asha bhosle,gullyachi shapath,1952,pop,fuck fuck fuck rise fuck bitch know power face fuckin cowards wanna disembowel hour home smoke joint beat shower dispose evidence couple downers know know friends high drink drive innocent fool smile cause punk blow block nigga motherfucker fuck motherfucker punk bitch punk motherfucker motherfucker motherfucker motherfucker high motherfucker high motherfucker high ride motherfucker motherfuckin meet park pussy semper ready fight amendment right guarantee regardless shit like night grab spit shit spite push button fuck recite poems mean shed light hypocrites sodomites incite riot twilight zone tonight cause fuck shut fuck straight punk blow block fuck life cold hell control insecure know fuck immature try grow hydro power bring twin tower gather qaeda cowards burn hell deserve know fuck brother berg shut fuck straight punk blow block,obscene
70,lata mangeshkar,judai ki khabar hoti agar,1952,pop,fame fruit tree unsound flourish stock grind fame time fly die forget remember update ruin outdated style life memory happen long theatre sadness long forget easy stop wonder wonder safe womb everlasting night darkness brightest light safe place deep earth know truly forget remember update ruin outdated style fame fruit tree unsound flourish stock grind fame time fly die fruit tree fruit tree know rain worry stand stare go fruit tree fruit tree open eye year know go,world/life
73,lata mangeshkar,maagata maagata janm gele,1953,pop,help weakness hear drifter carry courtroom take away hasn pleasant time long know wrong judge cast robe aside tear come fail understand say outside crowd stir hear door inside judge step jury cry stop curse jury cry attendant nurse trial time worse bolt lightning strike courthouse shape rybody kneel pray drifter escape,violence
74,lata mangeshkar,chupke chupke (from ''paying guest''),1953,pop,choice life freedom voice government care health cigarettes liquor shelf propaganda feed hungry beast government best govern choice people voice anslinger shady lie congress say marijuana kill hemp fibers threaten paper mill,violence
75,asha bhosle,chahe kitna mujhe tum bulao ji,1953,pop,hadn lonely awake wonder wide world save give lonely heart demand cupid take hand hadn,sadness
77,asha bhosle,tu bol na bol,1953,pop,touch lips spark fly devil lips know lie danger flame grow higher know surrender kiss like torch soul burn road return burn turn ash world crash kiss resist good try good deny desire kiss heart completely slave slave want pity pity lips lips borrow tonight devil tomorrow know kiss doom consume kiss resist good try good deny desire kiss heart completely slave slave want pity pity lips lips borrow tonight devil tomorrow know kiss doom consume kiss aaah burn,romantic
80,mukesh,raat andheri door savera,1953,pop,time feelin good time stoppin time livin high dust smilin onward thoughts away home travelin time settle satisfy wanderlust roam know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life shin point diggin cities land extend welcome hand till morning time know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life yeah yeah yeah yeah maybe road life road life yeah yeah yeah yeah yeah yeah yeah,world/life
84,ghantasala,thunintha pin,1953,pop,rebel runner signal turn green restless young romantic want machine problem poison know cure clean systems nature pure learn match beat world learn catch heat world mistake learn mend mess make know right young choose world weak lose world radio receiver tune factories farm writer ranger young bear arm problem power weapons patrol walk fine line selfcontrol try save world try pave world concern yesterday know constant change today know right weak choose wise world fool lose world learn match beat world learn catch heat world world,world/life
86,les paul,i'm sitting on top of the world,1953,pop,sit world roll roll quit blue world sing song sing song hallelujah phone parson ready like humpty dumpty ready fall sit world roll roll quit blue world sing song sing song,music
90,les paul,the world is waiting for the sunrise,1953,pop,dear world wait sunrise cover world wait sunrise heart call dear world wait sunrise little cover heart call thrush high sleepy mate call heart call,romantic
99,t. m. soundararajan,ethanai periya,1953,pop,watch world surround inside phone booth begin astound try couth say sunday cause rybody tellin truth monday yeah monday cause rybody drinkin vermouth lend hand kiss stand give away free acid joke smoke barely drive dusk headlights headphones tomorrow plan shop spree love hard like billboard grin toast life beauty head begin spin press cheek rainwashed streets weep reincarnation come december thirtyfirst worst time year think people like share beer have january explanations appear,world/life
100,talat mahmood,ansoo to nahin hai ankhon men,1953,pop,yeah dance ceiling dance floor people come door know party go dance romance night long know cold outside come baby satisfy time steal groove party party party baby house party come baby crazy soul know gonna lose control boogaloo want know cold outside come baby satisfy time steal groove party party party baby house party yeah yeah know baby know cold outside come baby satisfy time steal groove party party party baby house party say groove baby lose say roll stroll baby control party baby party baby party baby house party party party party party party party party come body party party come body,obscene
101,andy williams,it's the most wonderful time of the year,1953,pop,wonderful time year kid jingle bell tell good cheer wonderful time year haphappiest season holiday greet meet friends come haphappiest season party host marshmallows toast carol snow scary ghost stories tales glory christmases long long wonderful time year mistletoeing hearts glow love ones near wonderful time year party host marshmallows toast carol snow scary ghost stories tales glory christmases long long wonderful time year mistletoeing hearts glow love ones near wonderful time wonderful time wonderful time wonderful time year,night/time
102,lata mangeshkar,chandan ka palna resham ko dori,1954,pop,want know remember silly forget matter want need belong rest life marry wife wooo rest life marry wife wooo,world/life
106,lata mangeshkar,le chal ri nindiya le chal hamen,1954,pop,stand stand walk jaw hell walk jaw hell anytime anytime stand wipe anytime wipe anytime anytime stand raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops,violence
110,frankie laine,after you've gone,1954,pop,know inside know sorry tale hyde die know tragedy intent hyde evil forever kill good mean good fine line good think think free simply away face mirror close eye disappear face face mirror long live nightmare die scream tonight shall demon dream dream friend nightmare go hyde stay matter pretend flourish long go soon memory hide choose lose control control live deep inside feel devour soul need survive need dance death rejoice breathe final breath live inside forever satan know forever able separate jekyll hyde time damn hyde leave deep inside hyde forever damn hyde evil deeds hell jekyll,violence
115,asha bhosle,mere hamsafar tujhe kya khabar,1954,pop,hold close tonight hear doubt alright felt special dream come true happen know care wrap arm world special mystery special,romantic
118,sven-bertil taube,viljen i veta (would you like to know?),1954,pop,world trouble baby world pain world trouble grind gain give watch world go hard life live walk world sorrow world shame world sorrow grind gain spend life wish want wonder long life live walk world golden world plain world soul compass heart pair wing horizon rise bright azure rest time give walk high,world/life
125,bobby vinton,blue velvet,1954,pop,blue wear blue bluer night softer satin light star wear blue bluer eye warmer tender sigh hold tightly feel rapture grow like flame burn brightly leave go glow blue heart precious warm memory years blue tear wear blue heart precious warm memory years blue tear blue,music
126,los hermanos arriagada,poema,1954,pop,night mind deep dream till time look eye touch soul hard hide apart feel heart know lock door throw away save save night dream belong hold feel right heart lock door throw away save save night save save turn know come baby stay save save turn need save save save save save baby save save,sadness
127,the drifters,the bells of st. mary's,1954,pop,bell stmary hear call young love true love come beloved leave fall bell shall ring ring bell stmary hear call young love true love come beloved leave fall bell shall ring ring,music
128,the chordettes,for me and my gal,1954,pop,bell ring bird sing rybody know wed go weeks sew congregate parson wait gonna build little home land,music
130,harry belafonte,mark twain,1954,pop,granddad tell river pilot showboat call stage hobnob southern bell roustabout listen paddle wheel hear leadsman shout twain fathom deep twain heave gang plank start twain play banjos mississippi round gulf mexico gamblers crook fakers minstrel dance singin lamour import straight floatin palace showboat call stage granddad calliope quiet rudder rust main deck paddle wheel cover high dust granddad standin halo round pilot hear,music
133,harry belafonte,the next big river,1954,pop,boat ashore hallelujah boat ashore hallelujah river chilly cold hallelujah warm human soul hallelujah world mighty place hallelujah satan face hallelujah boat ashore hallelujah boat ashore hallelujah hallelujah walk right hallelujah reason felines permit hallelujah hallelujah boat ashore hallelujah boat ashore hallelujah hear say hallelujah world think dead hallelujah take ride hallelujah whale inside hallelujah boat ashore hallelujah boat ashore hallelujah build hallelujah work dark hallelujah leave foreign shore hallelujah family oars hallelujah boat ashore hallelujah boat ashore hallelujah nail cross hallelujah lose hallelujah soldier hallelujah hold line arkansas hallelujah boat ashore hallelujah boat ashore hallelujah jericho hallelujah alabama hallelujah mississippi kneel pray hallelujah bus hallelujah boat ashore hallelujah boat ashore hallelujah,violence
135,lata mangeshkar,sitaron ki mehfil saji,1954,pop,rope throw fall know deep stare real hard water perceive distance yeah distance world measure hand land write understand distance yeah distance awake hear breathe inch space need live dead awake hear breathe inch space need live dead climb earth tallest mountain reach bullet straight sight stop heavens half high distance distance,violence
138,a. m. rajah,gopiparivrito,1954,pop,deal pharmaceuticals sell pills yesterday sister call tell kill respectable doctor hill shoot heart feel thing poor deal pharmaceuticals sell expensive drug give money hell think medicine prescription fill come goodbye sorry die come finish pay come finish pay come finish pay come finish pay deal pharmaceuticals sell pills yesterday sister call tell kill medicine prescription fill come goodbye sorry die come finish pay come finish pay come finish pay come finish pay,obscene
140,jonah jones,you're the cream in my coffee,1954,pop,fade dear serenade evade wonder blue listen plead nearness need time heed offer quanto sonno agiu perso famme durmi notte abbraciata quanto sonno agiu perse famme durmi quanto sonno agiu perse famme durmi,music
148,lata mangeshkar,kabhi khamosh rahte hain,1955,pop,feel better fuck write better stick grind teach lesson cause learn yeah shin children burn heart beat cage want want feel feel stick city belong field yeah leave leave leave leave leave leave leave morning eat heart beat cage friends laugh love mistrust help look leave go concert fight crowd guess excite think get leave leave leave leave leave leave leave sorry think steal heart beat cage heart beat cage heart beat cage,sadness
149,mohammed rafi,khanke to khanke,1955,pop,heart home lips know rest heart home home suit best eye know life eye know home heart heart endure nicest heart home know roam line heart home divine heart home heart home divine heart home,sadness
161,johnnie ray,here am i,1955,pop,break hearted forget mighty soon break hearted time say goodbye know lose lose therer girl break hearted heart know pain hadn love vain break hearted,sadness
164,les paul,brazil,1955,pop,brazil hearts entertain stand beneath moon softly murmur someday soon kiss cling tomorrow morning away million things twilight dim recall thrill thing certain return brazil,world/life
167,les paul,"baby, won't you please come home",1955,pop,feel okay good cause lately feel strange like rearrange change voice ones hear head fellas tell better dead paint lately get harder sleep muscle spasms deep single night cold like feel hand toe tell pour come yeah cold feel face wear go moon feel like death come soon wanna fuck sleep mmmmm flash eye pretty angels bright light devil soul look hell like,violence
168,frankie laine,jezebel,1955,pop,jezebel jezebel devil bear pair horn jezebel pair eye promise paradise jezebel devil plan torment decieving grieve leave blue jezebel devil bear pair horn jezebel pair eye promise paradise jezebel devil plan torment decieving grieve leave blue jezebel know lover forsake dream goals silent scorn charm jezebel devil plan torment decieving drieving leave blue jezebel night jezebel jezebel jezebel,violence
169,bill haley & his comets,two hound dogs,1955,pop,hound rhythm blue hound dog name rhythm blue hound rompin rhythm blue hound rockin rhythm blue hound crazy rhythm blue hound hound hound hound rhythm blue yeah rhythm blue romp stomp roll stop save soul rhythm blue hound dog sittin stump diggin music start jump dance shoe dog name rhythm blue hound rhythm blue hound dog name rhythm blue hound rompin rhythm blue hound rockin rhythm blue hound crazy rhythm blue hound hound hound hound little white rabbit cross road rockin arollin like crazy toad rhythm say blue match rabbit place hound rhythm blue hound dog name rhythm blue hound rompin rhythm blue hound rockin rhythm blue hound crazy rhythm blue hound hound hound hound rhythm say blue blue say rhythm crazy bail trail arockin arollin awaggin tail hound rhythm blue hound dog name rhythm blue hound rompin rhythm blue hound rockin rhythm blue hound crazy rhythm blue hound hound hound hound hound hound hound hound,music
181,les paul,sleep,1955,pop,sleep sleep sleep sleep close joy fade away memories sweet repeat dream creep sleep sleep sleep daytime laughter song even bring romance lovers stroll night time bring rest weary sooths hearts dreary leave dream bring sweet golden dream sleep sleep sleep sleep close joy fade away memories sweet repeat dream creep,night/time
183,lata mangeshkar,mera dil yeh pukare aaja,1955,pop,forth try open close door wear pride hide pain know win play game tell need stay steal heart free tell leave come unglued tell truth reason excuse lie say goodbye leave ought know repeat away past someday repeat tell truth,sadness
185,ted heath,to you my love,1955,pop,long finish patrol light burn distance dare sound scar snow sleep giants listen tether line gold brothers patrol breathe keep rhythm know get cold wool cape weave smell lavender lipstick come home know better watch snow wive mother pray count rosaries lover lipstick lavender keep close hold close hour escape sunlight run mountain ravenous face moon come soon stay late feel goddamn ring gold heat hair promptly cool set light blind paint pattern skin head dovetail nicely chest lay shop face forge think tend coal smiths flame high eye dream lie bridle hades good control bellow breathe work painfully slow hold taste reward white iron draw like paint know know tell time need loud feel right listen whisper lips graze line memorize word press leave mark promise pull knuckle white breathe slip mountain ridge finish,violence
191,ted heath,believe in me,1956,pop,niggas wasn runnin dark like niggas wasn talk bout light niggas wasn runnin dark like niggas wasn runnin dark like niggas wasn talk bout light niggas wasn runnin dark like look demon doin tupid shit talkin reason know things okay right tryna dream path gettin cake want place late okay away dark minute minute yeah lookin create tenets hang nigga finish play diminish yeah yeahyeahyeah goofy beat like switch kick gucci heat deck hit hand tie leave right wrists know address ghostie bitch turn arrows bullets cupid believe shit swallowin flow neck slit foes cause hatin time statement mind body ghostie fade body want sloppy weak better broccoli muddiest league fuck bitch come come come come mmmm come come come come,obscene
192,ted heath,take the “a” train,1956,pop,drinkin team daniels homey bean kinda blitz try behave walk soldier fuzzy naval fallin stumblin crawlin come police captain rapper say freeze say hand hand key kinda simple come marguarita friend ask friend bout marguarita say virgin wouldn wanna meet talk marguarita cause flyer take coast cause want screw driver speech plenty tequila beach tequila tetete tequila tequila fussin mexican white russians drink hand walk cuervo marguaritas talk wise cause distinguish ives speak english say better think fast cause kinda crazy hear shoot glass give advice go like catch night train head cisco wanna stick catch york grey hound zone everybody stylin sippin teas long island black party come halt cause drink tequila lemon assault tequila tetete tequila tequila wake morning felt like zombie tequila gold label bomb wake late wasn feelin great say bicardi party startin walk party start playin game play top fuzzy quarter bartles come tell chill brothers take strawberry take mink barely think cause tequila drink tickle pink music come rock instrumental groupie name oriental groupie girl jocks wear black drink scotch rock fake marriage honeymoon zone vagabond blue lagoon everybody word wise girly bottle tequila sunrise tequila tetete tequila tequila tequila tetete tequila tequila,obscene
199,lata mangeshkar,pahuni raghunandan savala,1956,pop,yippie kiyo check lettuce tomato forget mayo know bite style gucci carryon fido ucci coochie good gucci beach good pucci hood like fry piece club minaj groupies okay coofiecoofie know flava foofyfoofy know gucci suit gucci coupe soft gucci roof listen chick chick muthaooh sign check,obscene
201,bill haley & his comets,come rock with me,1956,pop,come gang arock vive roll boulevard agay paris vive roll rockin rockin brother brother rockin right bank rockin leave bank night long night long rock rock sister sister rockin right bank rockin leave bank vive vive company paris vive vive marcherie vive roll dance dance vous plaît vous plaît look brother clock night night rock rock go go rockin right bank rockin leave bank night long night long vive vive company paris vive vive marcherie vive roll vive vive company paris vive vive marcherie vive roll vive vive company paris vive vive marcherie vive roll vive roll vive roll vive roll vive roll,night/time
202,lata mangeshkar,antar mantar jantar,1956,pop,chain heart free grow cold longer care go heartaches linger chain heart free tear eye spark somebody chain heart free instrumental heart word sympathy fair heart longer care beat chain heart free chain heart free grow cold longer care go heartaches linger chain heart free,sadness
204,lata mangeshkar,kahan se yeh sholon ka toofan aaya,1956,pop,temperature risin fever high future feet heavy head wish junkie wish dead cold turkey body achin pimple bone want leave eye wide open sleep thing sure deep freeze cold turkey thirty hours roll pain pray free good promise hell cold turkey,violence
206,the platters,temptation,1956,pop,come know temptation smile lure heart go temptation thrill will pity smile lure heart go temptation heart slave slave,sadness
210,harry belafonte,unchained melody,1956,pop,darling hunger touch long lonely time time go slowly time need need godspeed lonely mountain gaze star star wait gaze star star dream away darling hunger touch long lonely time time go slowly time need need godspeed,night/time
217,the platters,on my word of honor,1956,pop,word belong true word trust heart pledge life lips kiss tell forever cross heart word mean sware star word lips kiss tell forever cross heart word mean sware star word myyyyy loooooove,romantic
219,pete yorn,just my imagination (running away with me),1956,pop,look window watch pass girl like dream come true girls world love true baby imagination run away imagination run away soon marry raise family boys girls tell fellow track mind want baby seek shall imagination run away yeah imagination run away night pray dear lord hear plea surely ecstasy arm enfold hear tender rhapsody reality know imagination run away imagination run away imagination run away imagination run away run away run away run away run away,sadness
221,the clovers,don't you know i love you,1956,pop,throw horseshoe leave shoulder spend life search leaf clover chase rainbows go go babe music world sing get grow lose make sorry worry know go,world/life
224,johnny mathis,"love, your magic spell is everywhere",1956,pop,magic spell know fair leave laugh fate late come heart soul mate forget voice whisper magic spell know fair leave laugh fate late come heart soul mate forget voice whisper,sadness
229,the platters,heart of stone,1956,pop,blame come alternate plan paint shame beneath frame tell sunrays hair naturally gold couldn save somebody give heart stone voice like breeze passionate undertone passion somebody fashion heart stone blame come alternate plan paint shame beneath frame tell roses kiss cheek lovely tone satan master finally kiss heart stone,violence
235,the platters,have mercy,1956,pop,controversy moments like mean kiss lend lips dear pity darling time word come lips grow numb fear near want child walk begin crawl voice talk child conversation tell heart hear word lips near dear want child walk begin crawy voice talk child conversation tell heart hear word lips near dear,romantic
239,the platters,you've changed,1956,pop,change sparkle go smile careless yawn break heart change change kiss blasé bore understand change forget word memory share ignore realize care change know need tell change forget word memory share ignore realize care change know need tell change,world/life
244,harry belafonte,i do adore her,1956,pop,shadow fall star appear pain feel relive faithful turn away reveal hang heart sleeve thruout life assure moment amour think tender lips gentle touch fingertips reminisce eye fair moonlight soft downy hair reveal hang heart sleeve thruout life assure moment amour smile hold hand heart beguile feel warmth earnest prayer darling shield despair reveal hang heart sleeve thruout life assure moment amour stand thinkin joy time make fool distant reveal hang heart sleeve thruout life assure moment amour,sadness
245,jerry vale,"ciao, ciao, bambina",1956,pop,ciao ciao bambina bacio ancora sempre perderт comme fiamma amore passa volta raindrops tremble face dear teardrops know ciao ciao bambina heart call rain fall vorrei trovare parole nuove piove piove nostro amore rain fall,sadness
246,jerry vale,non dimenticar,1956,pop,dimenticar mean forget darling forget mean dimenticar like darling shin bright clear forget lips hold tight dear dream heart felt glow tonight dear dimenticar travel darling heart dimenticar separ allontan destino colpa sentiro sempre vicino dimenticar travel darling heart dimenticar,romantic
248,jerry vale,al di la,1956,pop,mean distant lovely even walk flower bloom smile gloom turn heart open wide go fade inside die wonder drift lift kiss give save lifetime know completely,sadness
